Yazi,Cevap 
"15 Temmuz darbe girişimi sırasında albay olan ve darbe girişimi sonrası tuğgeneralliğe terfi ettirilen Oğuz Bozkurt’un ankesörlü telefon vasıtasıyla mahrem imamlarla irtibatı olduğu ortaya çıktı. Bu haberi hükümete yakın olanlar da dahil medya “son dakika” olarak geçti.15 Temmuz darbe girişiminin ardından alınan kararlar ise tartışmalara neden olmuştu.15 Temmuz gecesi Karargâhta darbecilerle çatışan albaylardan biri de Güven Şağban’dı. 15 Temmuz'da darbe girişimi başladığında Jandarma Genel Komutanlığı'nda infaz edilmekten, FETÖ'cü albayın elindeki silah tutukluk yapınca kurtulan dönemin Jandarma İstihbarat Başkanlığı Plan ve Güvenlik Daire Başkanı emekli Albay Güven Şağban, 2018 yılında emekli edilmişti.Güven Şağban’ın emekli edilmesi tepkilere neden olurken, Şağban hayatına avukat olarak devam etti.15 Temmuz gecesi darbecilerle çatışan Albay Güven Şağban emekli edilirken, Albay Oğuz Bozkurt tuğgeneralliğe yükseltildi. Şimdi ise, Oğuz Bozkurt’un FETÖ’nün mahrem imamları ile irtibatı olduğu ortaya çıktı.Bunun üzerine Güven Şağban, sosyal medya hesabından çok dikkat çekici şu mesajları yazdı:https://odatv4.com/feto-ile-mucadelede-neler-oldugunu-15-temmuz-gazisinden-dinleyince-kucuk-dilinizi-yutacaksiniz-10102034.html","fetö ile mücadelede gelinen son nokta.... kimler kimlerle el ele kol kola... Nereden nereyeeeeee... Lafla değil icraatle kimlere destekler veriliyor...yeşil lastikler gelin de bu konuda da yalan ve sahtekarlık saçın, kötülüğün paçalarınızdan aktığını yine görelim"
"Fitness ve vücut geliştirme videoları ile kendisinden sıkça söz ettiren Savaş Cebeci, yakın zaman öncesine kadar ABD'den Türkiye'de gelmiş ve bir fitness salonu açmıştı. Ülkedeki ekonomik krizden ve pandeminin yarattığı sarsıcı etki sonucu ile daha da zarar etmemek adına salonunu kapatan Cebeci, yeni düzenlediği videoda dolar tahminini yıl sonuna kadar 10 TL olacağını belirtmiş. Kendisinin de dolar bozdurduğu için zararda olduğunu belirten Cebeci, durumu gayet güzelce özetlemiş. ",Hamza Yerlikaya feat. Vakıfbank diyeyim ve susayım.
"Johns Hopkins Üniversitesi'nden ekonomi profesörü Steve Hanke'ye göre Türkiye’de enflasyon yüzde 37. Hanke bunun resmi rakamlardan üç kat fazla olduğunu belirtti.DW Türkçe'ye konuşan Hanke hükümetin enflasyon hesabı yaparken ekonomideki her şeyi ölçmediğini savundu.Hanke, ""Bugün Türkiye’de enflasyon aslında yüzde 37. Biraz yükseliyor. Yüzde 11.75’lik resmi oranın üç katından biraz daha fazla. Resmi oran doğru değil, birincisi tanımı gereği güncel değil. Ben bugün ne olduğunu ölçüyorum” ifadelerini kullandı.Hanke devamında ""Yüzde 25’in üzerinde olan yıllık enflasyon oranları için yüksek frekanslı verileri ve döviz kurunu kullanıyorum. Ve zımni enflasyonu ölçmek için bu verileri satın alma gücü paritesi teorisine göre dönüştürüyorum"" dedi.https://odatv4.com/verdigi-enflasyon-rakami-dudak-ucuklatir-10102026.html","tüik e zaten kimse inanmıyor, profesör doğru söylemiş"
"https://www.birgun.net/haber/kirikkale-de-sahte-alkolden-zehirlenen-7-kisi-hayatini-kaybetti-318532Kırıkkale’de sahte alkolden zehirlenen 7 kişi hayatını kaybetti. Açıklama yapan Kırıkkale Valiliği, ""Yüzey temizleyici sıvılara içki aromaları karıştırmak suretiyle kendi yaptıkları karışımı içmeleri neticesinde zehirlenmiş oldukları anlaşılmıştır"" dedi.birileri senelerce kinsenin bu düzende can ve mal güvenliği yoktur diyordu",Yazık olmuş adamlara
Times gazetesinde anlatılana göre türkiye de iki yıl önce hayatını kaybeden arkeobotanikçi Gordan Hillman’ın Ankara`daki İngiliz Arkeoloji Araştırma Enstitüsü’nde tutulan 108 kutu arkeobotanik örnek ile 4 büfe dolusu modern tohum koleksiyonun un türkiye tarafından el koyulmuş.Kaynak:https://www.thetimes.co.uk/edition/news/turkey-snatches-rare-seeds-from-british-collection-zv7tjrzxjhttps://www.sozcu.com.tr/2020/dunya/times-turkiye-tohumlara-el-koydu-6074463/?utm_referrer=https%3A%2F%2Fzen.yandex.com(Haberi sadece sözcü yayınlamış türkiyede başka kaynak bulamadım.),Bir depoda çürütürler sonunda. Her şeyi yok ediyorlar.
"Sayıştay raporlarına göre Türkiye’nin dört bir yanı ‘Hayalet Üniversiteler’le doldu. Atıl durumdaki fakültelere giden öğrenci yok. Buna rağmen öğretim görevlileri maaş almaya devam ediyor...Her ilde üniversite kuruldu. Ancak öğrenci yok. Bu durum “Hayalet Üniversiteler” yarattı. Sayıştay'ın TBMM'ye sunduğu rapor atıl durumdaki üniversitelerin durumunu ortaya koydu. İşte öğrencisi olmayan üniversiteler…Hitit Üniversitesi: Veteriner Fakültesi'ne 14 yıldır, Sağlık Yüksekokulu'na 13, Turizm Fakültesi'ne 5 yıldır hiç öğrenci gelmedi.Mehmet Akif Üniversitesi: Diş Hekimliği'nde öğrenci yok.Mehmet Akif Üniversitesi: Teknoloji ve Diş Hekimliği Fakülteleri'nde de öğrenci yok.Abant Üniversitesi: Teknoloji Fakültesi'nde personel 2012'den beri maaş alıyor ama öğrencileri yok.Sinop Üniversitesi: Fizik ve Kimya Bölümü'nde öğrenci yok.Kocaeli Üniversitesi: Ulaştırma Yüksekokulu'nun öğrencisi bulunmadığı için eğitim yapılamıyor.Mimar Sinan Üniversitesi: Kültür Varlıkları Bölümü de öğrencisi olmadığı için eğitim veremiyor.Sinop Üniversitesi: Öğrenci yetersizliğinden dolayı Fen-Edebiyat, Kimya ve Fizik, Mühendislik ve Mimarlık Bölümleri'nde eğitim verilmiyor.ÖĞRENCİSİ VE BİNASI OLMAYAN OKULLARA 13 SEKRETER ATAMIŞLARSayıştay'ın Ordu Üniversitesi 2019 yılı denetim raporu üniversitedeki kadrolaşmanın vardığı boyutu ortaya çıkardı. Henüz faaliyete geçmemiş olan öğrencisi ve binası dahi bulunmayan Gölköy ve Aybastı Meslek Yüksekokulları'na 13 sekreter atandığı belirlendi.Sekreter olarak atanan kişilerin, kısa süre sonra şube müdürü yapıldığı tespit edildi. Öte yandan Sayıştay, olmayan okula sekreter olarak atanan kişilerin sınavsız bir şekilde şube müdürü olma hakkını elde ettiğine işaret etti.http://m.patronlardunyasi.com/default.asp?page=haber&haberid=241270","Onca üniversiteyi açmalarının nedeni bilim üretmek değil yandaşlarına kadro verebilmek içindi.Kim ne yapsın adını sanını bilmediği,duymadığı,küçük illerde bulunan üniversiteleri?Bu yerlere sırf yandaşlarına kadro verebilmek için açtılar.Bunlar yetmezmiş gibi iki sene öncede belli başlı büyük üniversiteleri bölerek böldükleri üniversitelerden yeni üniversiteler kurarak buralara da yandaşlara kadro verdiler.Amaçları en başından beri bilim vs değildi.Tek amaçları yandaşlarına kadro vermekti.Osmanlıdaki beşik ulemalığı gibi bir sistem getirdiler.Her yer vasıfsız Prof,Doç,Yrd.doç,araştırma görevlisi vs doldu."
"Evet neredeyse 20 koca yıl oldu. Akp'nin daha ilk harfi ADALET kelimesi ile yakından uzaktan işi olmadı bu sürede. Hatta adaletsizlik, adam kayırma, hukuksuzluk tavan yaptı. Biri bana bunu açıklayabilir mi? Bu haber muhalefet haberi de değil, yandaş milliyetteki haber.ÇOK SAYIDA SUÇ KAYITLARI VARŞaka mı ya bu? Silahlar, uyuşturucu, adam yaralama, sürüsüne bereket suç kaydı, zaten var olan arama kararı ve sonuç serbest? Nasıl böyle bir şey olabiliyor. Kim serbest bırakıyor, hangi hakla bırakıyor? Bu adamların en az 30 yıl dışarı bir daha çıkmaması lazım. Nasıl bir ülke haline getirildik. Tamam ihamız var süper. Bir askeri alanımız var. Ama ben oy vermem arkadaş bu yukarıdaki haber varken, atom bombası da icat etsek oy moy yok. Ya düzelt şu adaleti ve eğitimi. Bak ekonomi demiyorum, tamam varsın daha iyi ülke için daha çok çalışalım okey. Ama böyle brezilya gibi olmaz arkadaş ya. Bu ülkede adalet bakanları bunca senedir ne yapıyor? Ne işe yaradılar? ",Size 'a' nın adalet olduğunu kim söyledi.
https://m.bloomberght.com/tuketici-fiyatlari-eylul-de-yillik-yuzde-1175-artti-2265824Beklenti 1.35 iken(o beklentide bile hile var bu arada. Kamu bankalarının ekonomistleri en düşük sayıyı veriyor) 0.96 gençler. Verin mehteri. Her fiyatı artan şey enflasyon yapmaz. Semptom yok. ,"bu adiler yüzünden maaşlarımız da eriyor, geçmiş yıllardaki hükümetler bi salaktı enflasyonu düşük göstermeyi akıl edememişti.bunların sayesinde yemin ediyorum maaşımız kuş gibi kaldı ya..."
İnsanlar ölüyor!!! vergisine gelince helal kendisine gelince haram ee ne yapalım yüksek vergi koyalım vergisini yiyelim. Bu kadar da çelişkili bir yönetim söz konusu. Halbuki bir zamanlar burası laik bir devletti her ne kadar hükmü kalmasa da anayasa da halen yazıyor sadece anlamını yitirmiş olarak... Aşırı vergiler yüzünden artık saçma sapan bir hal alan alkol fiyatları yüzünden millet gidip tekelden alamaz hale geldi mecburen de ne olduğu belirsiz merdiven altı dediğimiz işlere yöneldiler çünkü tekel fiyatlarına göre bedava kendi içinde de ucuza gelmiş oluyor vatandaş ta riske girip alıp içiyorlar sonuç bu toplu ölümler... Son 5 yılda kim bilir sırf bu yüzden kaç kişi hayatını kaybetti yazık ne yazık...https://www.mynet.com/kirikkale-de-sahte-icki-7-kisinin-canini-aldi-110106613972,"Gerçekten alkoldeki ötv artık saçmalık seviyesinde.    İçen gene içecek, bu bir hak arkadaş. Bunun adı dindarlık falan değil artık."
"Sahibinden.com adlı satış sitesindeki bir telefon satıcısının, kendisini taciz ettiğini belirten 15 yaşındaki bir çocuk mesajları ifşa etti.15 yaşındaki Ada adlı çocuk, “Merhaba ben Ada. 15 yaşındayım. 14.09.2020 tarihinde http://sahibinden.com üzerinden telefon satın almak için irtibata geçtiğim bu şahıs, bana görselde paylaştığım şekilde söylemlerde bulunarak beni taciz etmeye çalışmıştır. İsmi Fatih Büyük'tür. #pedofilisuçtur” mesajını paylaştı.“Bu şahıstan şikayetçiyim, ailemin de bilgisi vardır ve arkamdadır. Benim gibi başkaları da böyle çirkin bir muamele ile karşılaşmasın ve dikkatli olsun diye bu sapığı buradan ifşa ediyorum. Sesimi duyurmama destek olursanız sevinirim” diyen çocuğun yayımladığı mesajlar şöyle:“Ben bu kişiden sadece kendim için değil, tanıdığım veya tanımadığım benim gibi kimler varsa korkmasın diye şikayetçi oldum. Birbirimize destek olalım, ailelerimiz arkamızda dursun. Benim ailem arkamda bu sapkınlığa sessiz kalmayacağım siz de sesime ses verin” diyen 15 yaşındaki Ada adlı çocuk, ifade tutanağını da yayımladı.İşte o ifade tutanağı: Sahibinden.com adlı site de çocuğun şikayeti üzerine “Şikayetiniz hakkında işlemleriniz sürmektedir. En kısa sürede bilgilendirilmeniz için konuyu ilgili birimlerimize ilettik. İyi günler dileriz” açıklamasında bulundu.İşte o açıklama: https://odatv4.com/sahibinden.comdaki-tacizi-ifsa-etti-16092011.html",Taciz olayi da önemli ama 15 yaşında Bir çocuğun internetten kendi başına telefon almasına müsaade eden ailesini de sorguya alsınlar.   Şimdi bu çocuk ile aynı yerde olsa gel buluşalım cihazı dene dese kaçırsa ailesinin hiç suçu olmayacak mı?   Yada cebinde parasıyla gitti başka cihaz verdiler bunu al diye çocuk direndi dövdüler parasını aldılar ailesi suçlu olmayacak mı?   Aileler uyumasın ya gözü açık olsun. Şu forumda sayfalarca konu var alışverişte kandırılanlar ile ilgili.
"Dağlık Karabağ’da, Ermenistan ve Azerbaycan arasında devam eden çatışmaların durdurulmasına yönelik Rusya’nın çağrısı üzerine Moskova’da yapılan toplantıda ateşkes kararı çıktıErmenistan'ın işgal ettiği Dağlık Karabağ üzerinden Azerbaycan'a saldırısıyla Güney Kafkasya'da yaşanan gerilimin sona ermesi için Rusya'nın başlattığı girişimler ile Azerbaycan ve Ermenistan tarafları bir araya geldi. Kremlin'in çağrısı ile Dağlık Karabağ'daki cenazelerin ve esirlerin değişimi konusunun yanı sıra bölgede ateşkesin sağlanmasına yönelik çağrıya Azerbaycan ve Ermenistan tarafı olumlu yanıt verince bugün saat 16:30'da Rusya Dışişleri Bakanı Sergey Lavrov'un ev sahipliğinde Ermenistan Dışişleri Bakanı Zohrab Mnatsakanyan ve Azerbaycan Dışişleri Bakanı Ceyhun Bayramov arasındaki toplantı yaklaşık 11 buçuk saat sürdü. Toplantının ardından kameralar karşısına geçen Rusya Dışişleri Bakanı Sergey Lavrov toplantı kararını okudu.ATEŞKES KONUSUNDA ANLAŞMAYA VARILDIRusya Dışişleri Bakanı Sergey Lavrov toplantının ardından tek başına kameraların karşısına geçti. Lavrov taraflar ile yapılan müzakereler sonucunda Dağlık Karabağ'daki cenazelerin ve esirlerin değişimi konusunda anlaşmaya varıldığını açıklarken bölgede ateşkesin sağlanması yönünde de karar alındığını söyledi. Anlaşma metnini okuyan Lavrov, ""Ermenistan ve Azerbaycan Dışişleri Bakanları 10 Ekim gece yarısından itibaren ateşkesi kabul ettiler. Azerbaycan Cumhuriyeti ve Ermenistan Cumhuriyeti, AGİT Minsk Grubu eşbaşkanlarının arabuluculuğuyla, çözümün ana prensipleri temelinde barışçıl bir çözüme mümkün olan en kısa sürede ulaşmak amacıyla esaslı müzakerelere başlıyor"" şeklinde konuştu.ANLAŞMA METNİ RUSYA DIŞİŞLERİ BAKANLIĞI SİTESİNDE YAYINLANDIRusya Dışişleri Bakanı Sergey Lavrov'un anlaşma metnini okumasının ardından da Rusya Dışişleri Bakanlığı internet sitesinde metnin tamamı yayınlandı. Metne göre Uluslararası Kızılhaç Komitesi kriterlerine uygun olarak savaş esirlerinin ve cenazelerin takaslarının gerçekleşeceği 10 Ekim gece yarısı 00:00'den itibaren ateşkes ilan edildiği duyuruldu. Ateşkes ile ilgili detayların üzerinde daha sonra çalışılacağı, AGİT Minsk Grubu eş başkanlarının arabuluculuğunda bölgede barışçıl çözüm için müzakerelere başlanacağı ifade edildi.Kaynak:https://m.sabah.com.tr/dunya/2020/10/10/azerbaycan-ve-ermenistan-ateskes-konusunda-anlasti",Azeriler pes etti aliyev çıkın çıkın ühü ühü diye ağladı. Böyle ezik bir ülkeden bu beklenirdi üstün ve haklı olduğun savaştan kaçıyosun sen yok ol azerbeycan ;)
"Bünyesinde kamu bankaları dahil 20 kamu şirketini bulunduran Türkiye Varlık Fonu'nun (TVF) net kârı, 2019'da bir önceki yıla göre yüzde 48,3 düşüşle 8 milyar 854 milyon TL'ye geriledi. Fonun, finans sektörü dışı toplam borcu da geçen yıl yüzde 46 artışla 284,2 milyar TL'ye yükseldi.Kamunun elindeki tüm değerli şirketleri bünyesinde toplayan Türkiye Varlık Fonu’nun (TVF) net kârı, 2019’da bir önceki yıla göre yüzde 48,3 düşüşle 8 milyar 854 milyon TL’ye geriledi. Bu rakam, bugünkü kurla 954 milyon euro ve 1 milyar 123 milyon dolara denk.TVF’nin internet sitesinde yer alan finansal rapora göre, 2018 sonunda 194,6 milyar TL olan TVF’nin finans sektörü dışı toplam borcu, 2019 sonunda 284,2 milyar TL’ye yükseldi. Bir yıllık borç artış oranı yüzde 46 oldu.Fonun bu dönemde faiz ve kur farkı giderleri kaynaklı “finansman giderleri” de yüzde 65 artışla 7,5 milyar TL’ye yükseldi. Genel yönetim giderleri de yüzde 30,4 artışla 18,7 milyar TL’ye ulaştı.Fonun özkaynakları ise 2019 sonunda 234,5 milyar TL seviyesinde.Söz konusu şirketler ve lisansların isimleri şöyle:Ziraat Bankası, HalkBank, Vakıfbank, Borsa İstanbul, Türkiye Sigorta, Türkiye Hayat Emeklilik, Platform AŞ, Botaş, Türkiye Petrolleri, TVF Enerji, TVF Rafineri ve Petrokimya, Türk Hava Yolları, PTT, İzmir Alsancak Limanı, Türkiye Denizcilik İşletmeleri, Eti Maden, TVF Maden, Nakit Karşılığı Şans Oyunları Lisansı, At Yarışı Düzenleme ve Bahis Kabul Etme Lisansı, Türksat, Türk Telekom (yüze 5 hisse)Fon, Haziran 2020’de yaptığı açıklamayla, İsveçli Telia’nın yüzde 24’lük hissesini satın alarak Turkcell’in kontrolünü eline aldığını duyurmuştu.HANGİ ŞİRKETLER ZARAR ETTİ?TVF’nin finansal tablolarında, fon bünyesindeki hangi şirketlerin ne kadar kâr ve zarar ettiği yazmıyor. Ancak 2019 bilançolarını açıklayan fon bünyesindeki şirketlerden Ziraat Bankası 6,2 milyar TL, Halkbank 1,7 milyar TL, Vakıfbank 2,8 milyar TL, THY 4,5 milyar TL net kâr elde etmişti.Çaykur ise 2019’da 733 milyon TL zarar açıklamıştı. Fon bünyesindeki büyük şirketlerden Botaş, henüz 2019 finansal verilerini açıklamadı ancak ciddi düzeyde zarar etmiş olma olasılığı bulunuyor.Fon, geçen yıl 1 milyar dolarlık borçlanmaya gitmişti. Bloomberg, TVF’nin bu yıl da 2 milyar dolarlık borçlanmaya gideceğini öne sürmüştü ancak henüz bu borçlanma gerçekleşmedi.YÖNETİM KURULU BAŞKANI ERDOĞANTVF’nin yönetim kurulu başkanlığı koltuğunda Cumhurbaşkanı Tayyip Erdoğan oturuyor. Hazine ve Maliye Bakanı Berat Albayrak ise fonun başkan vekili. Zafer Sönmez de TVF’de genel müdür olarak yönetim kurulunda görev yapıyor.Yönetim kurulundaki diğer isimler ise şöyle: Erişah Arıcan, Hüseyin Aydın, Salim Arda Ermut, Rifat Hisarcıklıoğlu ve Fuat Tosyalı.2016 yılında kurulan Varlık Fonu, 12 Eylül 2018’de Cumhurbaşkanlığı’na bağlandı.Kaynak:http://www.patronlardunyasi.com/haber/Varlik-Fonu-nun-kari-2019-da-yuzde-48-dustu-toplam-borcu-yuzde-46-artisla-284-milyar-TL-ye-cikti/241314",İsmi VARLIK fonu içeriği borç fonu
Bilmiyorum fark ettiniz mi ama şükredin diyenlerin hepsi zengin çıkıyor  ,fakirler de salak olmasin. niye hep ben sukrediyorum diye sorsun.birazcik beyni de varsa niye sen benim parami calarken ben sukrediyorum diye sormayi da akil edebilir.
ciddi ciddi almanyadan fransadan iyiyiz diyen birini gördüm şaka filan yapmıyodu insan gerçekten sarsılıyor dünyadan habersiz yaşayan bu kitle ülke için ciddi tehditŞu videoyuda eklemeden edemiyecegim,"Akp den önce DonanımHaber yoktu yeğenlerim, Akp sayesinde var."
"İlgili haberin linkihttps://www.haberler.com/52-yil-hapis-cezasi-bulunan-ve-sahte-belgelerle-13614236-haberi/Kendisini 2-3 yıldır takip ediyordum hatta bi ara idol bile alıyordum youtube de yayınlandıgı videoları izlerseniz anlarsınız bir çok yaralı hayvanı iyileştiriyordu sincaplar,kediler,köpeklere bakıyordu ama meğersem adam suç makinesi imiş:(İşin garip kısmı 2007 de nufustan kaydını sildiriyor fakat yine aynı isimle youtubeden kanal açıyor nerdeyse 400 k aboneye ulaşıyor TRT' de konuk oluyor , üniversitelerde konuşma yapıyor , kim milyoner olsun yarışmasına bile çıktı bu zamana kadar geçen süre de niye ihbar edilmedi kimse bilmiyor muydu ne garip olay yav. Konunun Özeti : Bu devirde karşılıksız iyilik yapan birine güvenmeyin altından çok başka şeyler çıkabilir . Edit: 2012 yılından daha önce suç işlediğine dair bir haber  dk 1:00 itibariyle bakabilirsiniz.",Bu ülkede kırmızı bültenle aranan terörist başının kardeşi devletin televizyonunda röportaj yaptı bu ne ki?Neden bu kadar şaşırdınız?Burası Türkiye kardeşim Türkiye artık bu tür haberlere şaşırmayın.
"Milli Piyango’nun en çok ilgi gören oyunu Sayısal Loto’da 28 çekilişte de 6 bilen çıkmadı. Sistem değiştiği için, kazanmak için gerekli 6 rakamı kimse tutturamıyor. 90 rakam arasından 6 bilmek neredeyse imkansız hale geldi.Milli Piyango'nun en çok ilgi gören oyunu Sayısal Loto'nun ismi “Çılgın Sayısal Loto” oldu ve sistemi değişti. Sayısal Loto'da 1-49 sayılarından 6'sını bilen, büyük ikramiye kazanıyordu. Çılgın Sayısal Loto ise 90 numaradan 6 tanesi seçilerek oynanıyor.Sistem değiştiği için 6 rakamı kimse tutturamıyor. Sayısal Loto'da 28 çekilişte de 6 bilen çıkmadı. Talih Kuşu özelleşince 1-90 arasındaki rakamlardan 6'sını tutturma kuralı getirildi. 90 rakam arasından 6 bilmek ise neredeyse imkansız hale geldi.KİMSE BİLEMESİNCHP Zonguldak Milletvekili ve TBMM KİT Komisyonu üyesi Deniz Yavuzyılmaz SÖZCÜ'ye, ‘'90 rakamdan 6'sını tutturmak, 622 milyonda bir ihtimal… Bu nedenle 28 çekiliştir kimse bilemiyor. Biriken paranın tümü de bir sonraki çekilişe aktarılmıyor. Yeni sistem ‘Kimse bilemesin' diye kurgulanmış. İsmini ‘Çılgın Sayısal' diye değiştirip, 6 tutturma ihtimalini yok ettiler. Çılgın Sayısal, dünyadaki şans oyunları arasında büyük ikramiye çıkma olasılığı en az olan oyun'' dedi.SORU İŞARETLERİ ARTIYORYavuzyılmaz şöyle devam etti: “1 Ağustos 2020'de özelleştirilip Milli Piyango'dan Sisal Şans şirketine devredilen şans oyunları çekilişlerinde soru işaretleri artmaya devam ediyor. Sisal Şans, Milli Piyango'nun 1-49 rakam arasında 6 bilene büyük ikramiyeyi verdiği sayısal loto çekiliş kurallarını değiştirdi. Oyunun adı Çılgın Sayısal Loto oldu. Rakam aralığı 1-90'a çıkarıldı, 1.5 TL olan kolon fiyatını da yüzde 100 zamla 3 lira yapıldı. Bu oyun Milli Piyango'dayken 2018'de büyük ikramiye en fazla 9, 2019'da ise en fazla 8 kez devretti. Şimdi ise 28'inci kez devrediyor çünkü kimse 6 rakamı bilemiyor.”‘ŞİRKETİN KASASI VATANDAŞA DAĞITMADIĞI PARAYLA DOLUYOR'CHP Zonguldak Milletvekili ve TBMM KİT Komisyonu üyesi Deniz Yavuzyılmaz şöyle konuştu: “Milli Piyango'nun yaptığı çekilişlerde 1-49 arasındaki rakamlarda 6 tutturma ihtimali 14 milyon birdi. Şimdi ise 1-90 arasındaki rakamlarda 6 tutturma ihtimali 622 milyonda bir. Yani neredeyse imkansız. Büyük ikramiye vatandaşa çıkmıyor hep kasaya kalıyor. 28. çekilişte 6 tutturan olsa 67 milyon 518 bin lira alacaktı. 29. çekilişte ise büyük ikramiye 68 milyon 79 bin lira oldu. 561 bin lira eklenmiş. Hasılatın tümü bir sonraki çekiliş ikramiyesine eklenmiyor, çoğu kasaya gidiyor. Vatandaşa dağıtılacak ikramiye tutarı da birikenden az oluyor. Oynanan kolon sayıları da açıklanmıyor. Şirketin kasası vatandaşa dağıtmadığı parayla doluyor.''https://www.sozcu.com.tr/2020/ekonomi/sayisal-loto-6-bilinmez-oldu-6069793/",La oynamayın şunu kaç tane skandal çıktı hala boşa umut ediyorsunuz.  Her hafta 10 20 lira boşa harcayacaginiza çocuğunuzun cebine harçlık koyun ya da onun için biriktirin
"Amerika Birleşik Devletleri'nin başkenti Washington D.C'de bir grup siyahi, Karabağ'da bozguna uğradıkları için sinirlenen ve Atatürk büstüne saldırmak isteyen Ermeni'lere karşı büstün önünde nöbet tutuyor.Fotoşok diye ağlayanlar için video;",Ülkeye Suriyeliler yerine siyahileri alsak çok daha yararlı olabilirmiş.
"Dürüst tüketicinin elektrik faturalarını haksız yere yükselten kayıp ve kaçaklar 5 yıl daha bölgesel yerine ulusal düzeyde hesaplanarak faturalara yansıyacak.Elektrik dağıtım işini devletten alıp şirketlere veren AKP iktidarı, kayıp ve kaçakla mücadelede istenen başarıyı sağlayamadığı gibi bölgesel alanda yaşanan büyük kaçakları ülke genelindeki tüm halka yüklemeye devam etme kararı aldı.AKP'li milletvekilleri tarafından TBMM'ye getirilen elektrikle ilgili yeni yasa teklifine göre, ülke genelindeki kayıp ve kaçak elektrik kullanımının bedeli bölgesel ayrıma tabi tutulmadan önümüzdeki 5 yıl boyunca ulusal düzeyde tüm halkın elektrik faturalarına yansıtılacak. Normalde 2015 yılında son verileceği söylenen bu sistem, bölgesel farklılıklar azaltılamadığı için bu yılın sonuna kadar uzatılmıştı. Şimdi bir 5 yıl daha uzatılarak ülke genelindeki tüm kaçak elektrik kullananların faturası ‘eşit' olarak 82 milyon vatandaşın sırtına yüklenmiş olacak.KRİTİK DÜZENLEME Bir grup AKP milletvekilinin TBMM'ye sunduğu Elektrik Piyasası Kanunu ile Bazı Kanunlarda Değişiklik Yapılmasına Dair Kanun Teklifi'nde halkı yakından ilgilendiren kritik düzenlemeler yer alıyor. Madencilik, doğalgaz ve elektrik alanlarında değişiklikler öngören teklifte, elektrikteki kayıp ve kaçakların ulusal bazda hesaplanarak faturalara yansıtılması yöntemine 31 Aralık 2025 tarihine kadar devam edilmesine, gerekli görmesi halinde de Cumhurbaşkanının bu süreyi 5 yıl daha uzatması konusunda yetki verilmesine ilişkin maddeler yer alıyor.2013 yılında çıkarılan Elektrik Piyasası Kanunu ile elektrikte 21 dağıtım bölgesine ayrılan Türkiye'de kayıp ve kaçakların bölgesel bazda faturalara yansıtılmasına karar verilmiş, ancak geçiş süreci konularak 31 Aralık 2015 tarihine bölgesel hesaplamaya ara verilmişti. Yasa uygulanmış olsa, 1 Ocak 2016'dan itibaren kayıp kaçakla ilgili 21 dağıtım bölgesinin birbiriyle bağı koparılacak, her bölgenin kendi kayıp ve kaçağı hesaplanıp o bölgede yaşayan halkın elektrik faturalarına yansıtılacaktı.Böylece örneğin İstanbul'un kayıp kaçağı Ankara'da, Kayseri'de, Hakkari'de; Erzurum'un kayıp kaçağı da Trabzon'da, Zonguldak'ta, İzmir'de, İstanbul'da yaşayan halkın faturalarına yansıtılmayacaktı. Ancak, bölgeler arasındaki kayıp kaçak konusunda yaşanan uçurum verilen sözlere rağmen azaltılamayınca 2015'te biten süre 31 Aralık 2020 tarihine uzatıldı. Bu sürenin bitimine 2.5 ay kala uçurum hala devam etmesi üzerine bu sefer TBMM'ye sunulan yeni teklifle sürenin 31 Aralık 2025 tarihine kadar uzatılması öngörüldü.BÜYÜK UÇURUM VAREnerji Piyasası Düzenleme Kurumu'nun (EPDK) resmi verilerine göre 21 elektrik dağıtım bölgesinde yaşanan elektrik kayıp ve kaçak oranları bölgelere göre yüzde 4.49 ile yüzde 51.32 arasında değişen büyük farklılıklar gösteriyor.Özelleştirmedeki amaç önce bu farklılığı en aza indirmek, sonra da bölgesel hesaplamaya geçmekti. Mevcut uçurum düzeyiyle ulusal hesaplama yerine bölgesel hesaplamaya geçilmiş olsa kaçağın çok olduğu bölgelerde elektrik faturaları olağanüstü artacak, kayıp ve kaçağın az olduğu, dağıtım maliyetlerinin düşük olduğu yerlerde faturalar düşecekti. Böylece kayıp ve kaçağın çok olduğu bölgelerde dürüst vatandaş elektrik hırsızlarının yakalanması konusunda devlete ve şirketlere daha güçlü baskı yapabileceklerdi.https://www.sozcu.com.tr/2020/ekonomi/hirsizin-elektrik-parasini-odeyecegiz-6069808/","18 senedir değil elektrik, her türlü şeylerini ödüyoruz zaten."
"İstanbul'un ingiliz işgalinden kurtuluşu'nun 97. yıl dönümü olan 6 ekimde,  camiler ve din görevlileri haftasının etkinliğinde konuşan Erdoğan, harika tespitleri ile dinleyenleri kendine yine hayran bıraktıErdoğan'ın büyük beğeni toplayan sözleri tam olarak şöyle:""imtihan dünyasında kul varlıkla beraber yoklukla nimetlerle beraber külfetle de sınanır.müminin görevi varlıkta şımarmamak, yoklukta ise sabretmektir.gerçek mümin musibetler karşısında kahrın da hoş lütfunda hoş diyerek acıyı bal eyleyendir.""",Sarayda oturan bir zatın peygamberi çadırda yaşayan bir kitabı örnek göstermeside çok çelişkili bir durum.
Edit; Bazı sahneler oyunmuş.,en baştaki lazer dalgasını diyorsan o fake.
